,mean_shap,abs_mean_shap,std_shap,count,class_dist
 とても,0.00010279319030814804,0.0033732185381975593,0.00388304526374369,9,"{0: 3, 1: 1, 2: 5}"
 する,7.70954022659186e-05,0.004052138882597236,0.005650851170820595,45,"{0: 10, 1: 26, 2: 9}"
 大学,3.3957696814468363e-06,0.0012519633276042441,0.0013458864129436208,4,"{0: 2, 1: 2, 2: 0}"
 たり,-6.955321092997717e-05,0.0037744890013931987,0.004685176212392617,9,"{0: 2, 1: 6, 2: 1}"
 .,-0.0001569761853536901,0.0033519712227428476,0.00449826249712862,9,"{0: 0, 1: 2, 2: 7}"
 勉強,-0.00016347626099862586,0.0044517195218152965,0.006712468366234643,12,"{0: 1, 1: 10, 2: 1}"
 数学,-0.00018669958923662024,0.0025849988967214205,0.002858439765204792,4,"{0: 1, 1: 1, 2: 2}"
 受講,-0.00020488648381918514,0.0008816685494821286,0.0010331429079282486,3,"{0: 3, 1: 0, 2: 0}"
 学生,-0.0005020301996410126,0.0005020301996410126,0.00023310042434057643,4,"{0: 4, 1: 0, 2: 0}"
 聞き,-0.0005354710206120217,0.00131299619033598,0.001589505447612724,4,"{0: 2, 1: 2, 2: 0}"
 考え,-0.0007620533462613821,0.0012813932728022337,0.0011486017558347025,5,"{0: 2, 1: 3, 2: 0}"
 人,-0.0007780928534657505,0.005127762569713923,0.005589676714057738,8,"{0: 1, 1: 5, 2: 2}"
 がん,-0.0009617363909152724,0.004073307225553435,0.004462606308292374,6,"{0: 0, 1: 6, 2: 0}"
 知識,-0.0010708888403314631,0.004240358724928228,0.004389686914212192,3,"{0: 1, 1: 1, 2: 1}"
 行う,-0.0010772988680400886,0.0012175207157270052,0.0009451456601846794,3,"{0: 0, 1: 3, 2: 0}"
 毎回,-0.001093692710492178,0.001093692710492178,0.00035595661043443617,5,"{0: 1, 1: 4, 2: 0}"
し,-0.0010991407950011005,0.0014922187919485927,0.002098945297952489,4,"{0: 2, 1: 0, 2: 2}"
 回,-0.0011023526967619546,0.0051369627108215354,0.0060499491142144484,8,"{0: 1, 1: 5, 2: 2}"
 もっと,-0.0011591393134761441,0.0011591393134761441,0.0003183916143424585,3,"{0: 1, 1: 1, 2: 1}"
しかっ,-0.001226358402467061,0.005276850493222203,0.006078138053129109,3,"{0: 1, 1: 2, 2: 0}"
 きれ,-0.0013744047074273292,0.005246789415572112,0.005081556775311511,3,"{0: 2, 1: 0, 2: 1}"
 通り,-0.0014237760807902517,0.004259367171309147,0.00435300529661775,3,"{0: 1, 1: 1, 2: 1}"
 教え,-0.00150562655411098,0.00150562655411098,0.00085774133363236,3,"{0: 2, 1: 1, 2: 0}"
 一,-0.001589905521768742,0.002994886369303155,0.002870905330986989,12,"{0: 3, 1: 9, 2: 0}"
 場所,-0.0016050333506427705,0.002893603377742693,0.0025056957105430598,3,"{0: 0, 1: 2, 2: 1}"
 動画,-0.0016436443419594467,0.004779754840232293,0.004494465989823096,3,"{0: 1, 1: 1, 2: 1}"
 資格,-0.0017414990749481756,0.003349557492280534,0.0035627712179577774,3,"{0: 1, 1: 2, 2: 0}"
 なる,-0.0018082177421801335,0.002396780089354736,0.002672310975347836,11,"{0: 1, 1: 8, 2: 2}"
 付け,-0.0018277406282625936,0.0031087459828995634,0.0028229854479995217,3,"{0: 0, 1: 3, 2: 0}"
 学習,-0.0018282092481967994,0.0026843827887205406,0.0035369298951729695,5,"{0: 0, 1: 4, 2: 1}"
 を,-0.0018655873817506336,0.004736568281972285,0.006824224331369292,154,"{0: 32, 1: 95, 2: 27}"
 最後,-0.002039958022942301,0.0038858415369759313,0.004844142477470779,3,"{0: 0, 1: 2, 2: 1}"
 FI,-0.0020474351303063384,0.0020474351303063384,0.0007674407235568022,3,"{0: 0, 1: 3, 2: 0}"
 思っ,-0.0020642073851276006,0.002105808462066408,0.0018766928428261512,3,"{0: 1, 1: 2, 2: 0}"
 あっ,-0.0021679313802754523,0.0022990922123729733,0.0014797502653843022,8,"{0: 6, 1: 2, 2: 0}"
張っ,-0.0021712401591437148,0.007599758685616756,0.008160955043978168,5,"{0: 1, 1: 4, 2: 0}"
 全く,-0.0022084304118834552,0.002570905944594415,0.0024928289672127776,4,"{0: 3, 1: 1, 2: 0}"
 取り,-0.002237016204465666,0.003978198721900601,0.0034605375489865278,6,"{0: 1, 1: 5, 2: 0}"
 でし,-0.002249018430392284,0.0025710266204630157,0.002821885245281516,9,"{0: 4, 1: 3, 2: 2}"
 後期,-0.0023682218575534837,0.0032234434103277938,0.0037167858589358645,3,"{0: 0, 1: 2, 2: 1}"
 場合,-0.0024266077125503216,0.0024266077125503216,0.0003244838663769827,3,"{0: 0, 1: 3, 2: 0}"
 ライン,-0.0024529361205875627,0.0024529361205875627,0.0011807622230200787,3,"{0: 2, 1: 1, 2: 0}"
 いっ,-0.0025752228903002106,0.002735890385035115,0.0021798866017353103,3,"{0: 2, 1: 1, 2: 0}"
 つ,-0.00260222292937132,0.0030920347392318285,0.0021960981072382847,11,"{0: 2, 1: 9, 2: 0}"
 ため,-0.002625919976188535,0.005435671223884648,0.005394306539753801,21,"{0: 5, 1: 10, 2: 6}"
 度,-0.002667564131115796,0.002667564131115796,0.0008592689657363167,3,"{0: 1, 1: 1, 2: 1}"
 なるべく,-0.002766294660331268,0.00459735363902938,0.004070229721534805,3,"{0: 0, 1: 2, 2: 1}"
 日,-0.0028070461703632813,0.0028070461703632813,0.0017936377187180053,9,"{0: 3, 1: 6, 2: 0}"
 ませ,-0.002810949809972803,0.00447565992075412,0.00458077603799056,4,"{0: 0, 1: 2, 2: 2}"
 いく,-0.0028353280358714983,0.0028353280358714983,0.0009784541179880392,3,"{0: 0, 1: 3, 2: 0}"
 先生,-0.0028869044700210603,0.010192267303258026,0.019788764878030322,15,"{0: 5, 1: 6, 2: 4}"
 いつ,-0.0029242126668881006,0.0029242126668881006,0.0016912840384285986,3,"{0: 1, 1: 2, 2: 0}"
 欲しい,-0.0029529121345495653,0.0029529121345495653,0.0025197105530544005,4,"{0: 2, 1: 2, 2: 0}"
 資料,-0.003147510237492194,0.003147510237492194,0.001637413457471884,3,"{0: 1, 1: 2, 2: 0}"
 多かっ,-0.0031575950042007778,0.011651141065043554,0.013586877882732907,5,"{0: 0, 1: 3, 2: 2}"
 出,-0.0031644108998989395,0.0031644108998989395,0.0012257358162741886,4,"{0: 0, 1: 4, 2: 0}"
う,-0.0031909278417219123,0.0035610003995211366,0.002725165210944677,19,"{0: 2, 1: 15, 2: 2}"
 ながら,-0.0032818743726844937,0.0032818743726844937,0.0013700867961493146,3,"{0: 1, 1: 2, 2: 0}"
 早く,-0.0033548852976916046,0.0033548852976916046,0.0014303541814802243,3,"{0: 2, 1: 1, 2: 0}"
 やり,-0.00340660585607111,0.0063540486899000825,0.008923088071872736,4,"{0: 1, 1: 3, 2: 0}"
 どこ,-0.003729792109273452,0.003729792109273452,0.0008309135870234181,3,"{0: 3, 1: 0, 2: 0}"
 配,-0.0038779785063525196,0.0038779785063525196,0.0021182754157464683,3,"{0: 2, 1: 1, 2: 0}"
 授業,-0.003918310475344356,0.005739644534894021,0.006404319106416315,43,"{0: 16, 1: 21, 2: 6}"
 履修,-0.004022513399676037,0.005622836957783355,0.00752214668612316,4,"{0: 0, 1: 2, 2: 2}"
 悪い,-0.004117619602766354,0.004117619602766354,0.004868440420385987,3,"{0: 2, 1: 1, 2: 0}"
 忘れ,-0.004166094622632954,0.004166094622632954,0.0020636052121763664,4,"{0: 0, 1: 4, 2: 0}"
習,-0.004242125030421968,0.005578476048044866,0.004398849464910996,21,"{0: 0, 1: 20, 2: 1}"
 内,-0.004251825042956625,0.004251825042956625,0.001534540084184293,4,"{0: 0, 1: 4, 2: 0}"
 大事,-0.004261827430127596,0.004261827430127596,0.0018725590606388164,4,"{0: 1, 1: 2, 2: 1}"
 なり,-0.0043928823124588234,0.004993652537450544,0.007094974163932513,4,"{0: 1, 1: 1, 2: 2}"
 スピード,-0.0044041372948918755,0.0044041372948918755,0.0021778788455475368,3,"{0: 1, 1: 2, 2: 0}"
 難しく,-0.00455616541746297,0.005498016130721746,0.003619390841222892,7,"{0: 4, 1: 3, 2: 0}"
 課題,-0.0045760353213236986,0.009594118248886925,0.01031312291751928,22,"{0: 1, 1: 20, 2: 1}"
 書き,-0.004643010574000073,0.005042034621510538,0.003722114289915447,3,"{0: 0, 1: 3, 2: 0}"
 づらい,-0.004643985137590789,0.004643985137590789,0.001637803603551806,3,"{0: 2, 1: 1, 2: 0}"
 計算,-0.00472000360362775,0.00472000360362775,0.0032911963681733145,3,"{0: 0, 1: 3, 2: 0}"
 部分,-0.004863410241341626,0.004863410241341626,0.001401791868820388,4,"{0: 1, 1: 3, 2: 0}"
 時間,-0.004950944544937859,0.005057663628789063,0.006151360306896457,15,"{0: 8, 1: 6, 2: 1}"
す,-0.0049607112086960115,0.0049607112086960115,0.001230377309945791,3,"{0: 1, 1: 2, 2: 0}"
 オン,-0.0050506271214392955,0.0050506271214392955,0.00336205874040673,4,"{0: 2, 1: 2, 2: 0}"
 少し,-0.005191343160849673,0.007459310025920044,0.00683207835285101,9,"{0: 1, 1: 5, 2: 3}"
 ない,-0.005208932293605201,0.0062387365422777764,0.00562229289133456,43,"{0: 16, 1: 22, 2: 5}"
 書,-0.005243319157059225,0.005392649934831504,0.006248514672012411,10,"{0: 5, 1: 2, 2: 3}"
 しっかり,-0.0053345280695410975,0.009008338031842294,0.015478110290130798,19,"{0: 0, 1: 18, 2: 1}"
ろう,-0.005339237922453321,0.005339237922453321,0.001998669059381901,5,"{0: 0, 1: 5, 2: 0}"
 ば,-0.005629515576654537,0.032342972797121346,0.059967976609192904,9,"{0: 2, 1: 7, 2: 0}"
 ましょ,-0.005667572441035934,0.006009288642334551,0.004036279981578613,11,"{0: 0, 1: 10, 2: 1}"
 復,-0.005680116389287703,0.005680116389287703,0.003818317486191344,14,"{0: 0, 1: 14, 2: 0}"
 期限,-0.005706339332436983,0.005706339332436983,0.003048313823249584,10,"{0: 3, 1: 7, 2: 0}"
 物,-0.005766594287706539,0.005766594287706539,7.332122830786064e-05,3,"{0: 0, 1: 3, 2: 0}"
 ください,-0.006081388642902581,0.006269969553519601,0.0034383083150263095,9,"{0: 1, 1: 8, 2: 0}"
 難しい,-0.006194601208379338,0.006322124059884109,0.0040458932897806275,15,"{0: 1, 1: 12, 2: 2}"
 ちゃんと,-0.006261334283044562,0.006261334283044562,0.0026044347713223624,5,"{0: 0, 1: 5, 2: 0}"
 時,-0.00649058740361852,0.00649058740361852,0.00804264190145451,4,"{0: 2, 1: 2, 2: 0}"
 十分,-0.0065238569400797265,0.012346073801322913,0.017479610078520377,4,"{0: 0, 1: 2, 2: 2}"
 あまり,-0.006574241303193655,0.006574241303193655,0.0008689590676072548,3,"{0: 3, 1: 0, 2: 0}"
 まで,-0.006583089095208075,0.007091263879495577,0.008379105030375986,6,"{0: 1, 1: 4, 2: 1}"
 おく,-0.006620666633534711,0.006620666633534711,0.0017894823167559518,5,"{0: 1, 1: 4, 2: 0}"
 テスト,-0.006637433151853099,0.0066635014739169435,0.004305183839693508,31,"{0: 7, 1: 23, 2: 1}"
 とる,-0.006696052671031794,0.006696052671031794,0.002461636163703511,3,"{0: 1, 1: 2, 2: 0}"
 レポート,-0.0067308453657320706,0.0067308453657320706,0.006405550052457927,13,"{0: 4, 1: 9, 2: 0}"
 予,-0.006958644898986677,0.006958644898986677,0.0026941295430210894,7,"{0: 0, 1: 6, 2: 1}"
 ん,-0.006994166057236606,0.008325934145861658,0.007352104761415992,5,"{0: 0, 1: 3, 2: 2}"
 提出,-0.007058009611857694,0.007058009611857694,0.003876831569353623,13,"{0: 2, 1: 11, 2: 0}"
 もう,-0.0071646634454130735,0.0071646634454130735,0.006744210266650009,3,"{0: 0, 1: 3, 2: 0}"
 出席,-0.007257571042828204,0.007652001047063095,0.012821298010919127,6,"{0: 3, 1: 3, 2: 0}"
 下さい,-0.00746344438084634,0.00746344438084634,0.0020029647522414925,3,"{0: 1, 1: 2, 2: 0}"
 たい,-0.0076383278996115635,0.012415140898287599,0.01891629991344548,10,"{0: 2, 1: 8, 2: 0}"
 量,-0.00767506118518213,0.00767506118518213,0.008649848020916732,3,"{0: 2, 1: 0, 2: 1}"
 ノート,-0.007711149770676413,0.007711149770676413,0.003267976428587515,7,"{0: 0, 1: 7, 2: 0}"
 小,-0.007829384862765841,0.007829384862765841,0.0029411324927280966,9,"{0: 2, 1: 7, 2: 0}"
 教科,-0.007859029716680444,0.008008360494452724,0.008618268661966032,10,"{0: 5, 1: 2, 2: 3}"
 なかっ,-0.008168401034241324,0.00900325295412322,0.00862528753437298,17,"{0: 10, 1: 6, 2: 1}"
 メモ,-0.008311596963418802,0.008311596963418802,0.004044894847207269,3,"{0: 1, 1: 2, 2: 0}"
 多い,-0.008947523131913234,0.008947523131913234,0.003996628780479273,3,"{0: 1, 1: 2, 2: 0}"
 すぎ,-0.010188747159898209,0.010188747159898209,0.016558235923752752,6,"{0: 4, 1: 2, 2: 0}"
 大変,-0.010387854381965904,0.010387854381965904,0.008123644389227821,13,"{0: 2, 1: 11, 2: 0}"
 配布,-0.010791055955147991,0.010791055955147991,0.005375279189581409,3,"{0: 1, 1: 1, 2: 1}"
 方,-0.011152598740747114,0.013782092793098092,0.017692481307204525,17,"{0: 1, 1: 14, 2: 2}"
 感じ,-0.01219723815289139,0.01464346860133706,0.014818986805983127,4,"{0: 1, 1: 1, 2: 2}"
 間に合わ,-0.012637625243365215,0.012637625243365215,0.010170040710436232,3,"{0: 1, 1: 2, 2: 0}"
 単位,-0.012955412793871801,0.012955412793871801,0.013141986472643877,4,"{0: 1, 1: 2, 2: 1}"
 プリント,-0.013813881817441143,0.013813881817441143,0.009068891708249103,4,"{0: 1, 1: 3, 2: 0}"
 話,-0.014250667791223338,0.014250667791223338,0.025431760980339994,6,"{0: 1, 1: 3, 2: 2}"
 ず,-0.014571319716424114,0.014571319716424114,0.02101201773549932,8,"{0: 1, 1: 6, 2: 1}"
 ほう,-0.01779952426568343,0.01779952426568343,0.01360223414511069,4,"{0: 0, 1: 3, 2: 1}"
 分から,-0.020979092085781303,0.020979092085781303,0.03913580186023553,6,"{0: 2, 1: 4, 2: 0}"
 難しかっ,-0.023727871641426646,0.023727871641426646,0.020273970359612124,8,"{0: 2, 1: 5, 2: 1}"
 科目,-0.02430630933304201,0.02430630933304201,0.02546028091475407,3,"{0: 1, 1: 1, 2: 1}"
 にく,-0.046629642371954105,0.046629642371954105,0.053453110818731484,4,"{0: 4, 1: 0, 2: 0}"
